NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company,Market_Type,Per_Share _Holds,Performance_Category
LAGUANAQUITA,INDIANAPOLIS,IN,46254,2917.0,18097.0,MARION,3480.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,133409.938769142,121731.983542329,11677.9552268131,16370.536711933,21506.391366657,27788.6421496677,47491.3702744871,0.42678335430875103,FSR,42.68,Attention
VIETNAMESE CUISINE,EVANSVILLE,IN,47715,2226.0,18163.0,VANDERBURGH,2440.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,VIETNAMESE,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,95392.3505274159,89570.643855865,5821.70667155088,14306.6515557961,18477.5907401397,13283.1757137276,35403.4600423047,0.4004448538547004,FSR,40.04,Attention
PAPA BOB'S BAR B QUE,SHAWNEE,KS,66226,,20091.0,JOHNSON,3760.0,LSR - QUICK CASUAL,BBQ,BARBECUE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,110249.3952,99126.7648526102,11122.6303473898,17819.7485142308,16901.690136351,18773.1168297214,36428.085635102,0.9884330888884856,LSR,98.84,Apex
TACO BELL,DENHAM SPRINGS,LA,70726,1255.0,22063.0,LIVINGSTON,760.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",MEXICAN,MEXICAN,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,446521.4019,365503.966414955,81017.4354850446,78169.7224627232,42715.6953348214,93025.2920625,83865.1485073661,0.13556151494280044,LSR,13.56,Study
CAPTAIN LA FISH & CHICKEN,BOSSIER CITY,LA,71111,3904.0,22015.0,BOSSIER,7680.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","STEAK, SEAFOOD & FISH",SEAFOOD & FISH,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,185229.282429921,173486.20007622,11743.0823537008,24070.074879685,32352.9488050394,30839.1076176378,74372.8549067716,0.30830496771645566,FSR,30.83,Study
BECCA'S STEAK & SEAFOOD,SHREVEPORT,LA,71129,2595.0,22017.0,CADDO,7680.0,FSR - FINE DINING RESTAURANTS,"STEAK, SEAFOOD & FISH",STEAK & SEAFOOD,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$50 TO $75,NOT APPLICABLE,269424.786918604,252893.458470373,16531.3284482309,29345.5534583981,52854.602395626,37953.5824728616,116436.634888822,0.4674286076641988,FSR,46.74,Attention
TOMACCHIOS PIZZA & SUBS,HAVERHILL,MA,1832,5526.0,25009.0,ESSEX,1122.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$10 TO $15,NOT APPLICABLE,158800.164534585,147118.972089785,11681.1924448007,21558.7952913422,26362.7488941823,21912.7708199725,61035.4947224004,0.4293161855324681,FSR,42.93,Attention
JIMBOS FAMOUS ROAST BEEF & SEAFOOD,TEWKSBURY,MA,1876,5228.0,25017.0,MIDDLESEX,1122.0,FSR - UPSCALE CASUAL DINING RESTAURANTS,"STEAK, SEAFOOD & FISH",SEAFOOD & FISH,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$30 TO $50,NOT APPLICABLE,158324.720314669,149405.576080618,8919.1442340512,14865.2403900853,27371.8626382771,21187.9226360016,77061.4061822024,0.703565887351325,FSR,70.36,Focus
TELLO ITALIAN BISTRO,SOUTH HAVEN,MI,49090,1443.0,26159.0,VAN BUREN,3720.0,FSR - UPSCALE CASUAL DINING RESTAURANTS,"PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$30 TO $50,NOT APPLICABLE,267824.310065019,246760.559027655,21063.7510373639,35127.6579799941,54393.2839288026,51985.0806852015,82777.9728267137,0.8360245491652667,FSR,83.6,Apex
CORNER CAFE,MICHIGAN CENTER,MI,49254,1035.0,26075.0,JACKSON,3520.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",AMERICAN AND AMERICAN TRADITIONAL,AMERICAN TRADITIONAL,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,111416.378735473,103295.091599341,8121.28713613187,15045.2774204835,16208.6885123077,24454.2234349451,40956.5885335385,0.9219061608551645,FSR,92.19,Apex
GORDONVILLE GRILL,CAPE GIRARDEAU,MO,63701,9532.0,29031.0,CAPE GIRARDEAU,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","BAR & GRILL, BREW PUB, & EATERTAINMENT",BAR & GRILL,INDEPENDENT (1-9 UNITS),20 TO 49,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,255968.215345692,238008.312103394,17959.9032422977,33164.054135248,41589.6877550914,51947.5155509138,90179.619983812,0.6613580071070463,FSR,66.14,Focus
