NAME,CITY,STATE,ZIP,ZIP_PLUS4,COUNTY_CODE,COUNTY_NAME,MSA,MARKET_SEGMENT,SIMPLIFIED_MENU,MENU_TYPE,UNITS,EMPLOYEES,YEARS_IN_BUSINESS,ANNUAL_SALES,AVERAGE_CHECK,NUMBER_OF_ROOMS,FOOD_BEVERAGE_PURCHASE,FOOD_PURCHASE,BEVERAGE_PURCHASE,TOTAL_CATEGORY_DRY,TOTAL_CATEGORY_FRESH,TOTAL_CATEGORY_FROZEN,TOTAL_CATEGORY_PROTEIN,% Share of F&B Purchases from Company,Market_Type,Per_Share _Holds,Performance_Category
BLACK OAK CAFE,BONNEAU,SC,29431,8712.0,45015.0,BERKELEY,1440.0,"FSR - CAF╔-RESTAURANTS, FAMILY-STYLE, DINER",CLASSIC & VARIED MENU,VARIED MENU,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,106454.003138108,96494.1782168583,9959.82492124944,13142.0559779267,17217.5448750747,24430.6019368764,33072.8715434314,0.7106491891767095,FSR,71.06,Focus
RANCHO VIEGO,STURGIS,MI,49091,2091.0,26149.0,SAINT JOSEPH,,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",AMERICAN REGIONAL,SOUTHWESTERN / TEX-MEX,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,114392.855853966,107411.565966247,6981.28988771895,17156.2889490258,22158.0070349341,15928.9544319032,42455.2165761661,0.35803481367188217,FSR,35.8,Study
WENDY'S,MUSKEGON,MI,49445,2620.0,26121.0,MUSKEGON,3000.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,481498.506,403242.964750643,78255.5412493573,75504.9071105399,41259.5120822622,89854.0485347044,131205.248421594,0.15817734247402726,LSR,15.82,Study
JIMMY JOHN'S GOURMET SANDWICH SHOP,WYOMING,MI,49519,9628.0,26081.0,KENT,,LSR - QUICK CASUAL,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,188442.5958,167985.485809125,20457.1099908748,22354.5810624921,26446.0030606671,36328.6648920076,66964.916569163,0.8521332726401938,LSR,85.21,Apex
PIZZA MAN,MAPLE GROVE,MN,55369,6252.0,27053.0,HENNEPIN,5120.0,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,202131.010423078,185971.302727695,16159.7076953826,32704.1703358934,26932.846158971,35147.3642374572,59637.0164948644,0.3989256464945855,LSR,39.89,Study
VEGAS LOUNGE,MINNEAPOLIS,MN,55413,2468.0,27053.0,HENNEPIN,5120.0,NIGHTLIFE VENUES,SELECTION FOR LODGING AND BARS,NOT APPLICABLE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"$500,001 - $1,000,000",NOT APPLICABLE,NOT APPLICABLE,,,,,,,,,others,,NoShare
AZTECA MEXICAN GRILL,OSWEGO,NY,13126,2120.0,36075.0,OSWEGO,8160.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",MEXICAN,MEXICAN,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$10 TO $15,NOT APPLICABLE,134676.200017556,126457.036449341,8219.16356821492,20198.3225683921,26086.9104556387,18753.3656461917,49983.0797711671,0.8978118779492792,FSR,89.78,Apex
MCDONALD'S,OCEAN SPRINGS,MS,39564,4519.0,28059.0,JACKSON,920.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,20 TO 49,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,755024.7006,632314.316526478,122710.384073522,118397.189554242,64697.9177892031,140897.68762982,205739.378569666,0.17439528736421428,LSR,17.44,Study
GOLDEN CORRAL,MCCOMB,MS,39648,6018.0,28113.0,PIKE,,LSR - BUFFET RESTAURANTS,CLASSIC & VARIED MENU,VARIED MENU,251-500 UNITS,UNKNOWN,5 YEARS PLUS,"$1,000,001 - $2,500,000",$7 TO $10,NOT APPLICABLE,457397.325140857,408852.689082206,48544.636058651,72540.6089111721,66691.3026688109,84976.141867373,140936.040170277,0.08758896302034269,LSR,8.76,Study
CHINA WOK,ASHEVILLE,NC,28804,6629.0,37021.0,BUNCOMBE,480.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CHINESE,CHINESE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,96739.1182101555,90835.2195561208,5903.89865403464,14508.6356337335,18738.4609454143,13470.7101614741,35903.2929490159,0.021533141788491528,FSR,2.15,Study
APPLEBEE'S,FARGO,ND,58102,1833.0,38017.0,CASS,2520.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",CLASSIC & VARIED MENU,VARIED MENU,501+ UNITS,OVER 50,5 YEARS PLUS,"$2,500,001 - $5,000,000",$10 TO $15,NOT APPLICABLE,797989.401826062,728137.90056631,69851.5012597515,97920.1018968506,128640.13386449,166217.315824906,284068.867034094,0.6166536756681517,FSR,61.67,Focus
SUBWAY,RENO,NV,89523,3516.0,32031.0,WASHOE,6720.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,140672.5785,120401.497165394,20271.0813346058,22586.8174473339,21177.2389439342,30842.9201101038,29651.4906608016,0.12095467842195684,LSR,12.1,Study
PAPA MURPHY'S PIZZA,MARION,OH,43302,5654.0,39101.0,MARION,,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,163666.5183,133970.648111001,29695.8701889987,28652.0786182079,15656.8735618622,34097.1913125,30739.6617597895,0.3645442097558561,LSR,36.45,Study
SUBWAY,SAINT CLAIRSVILLE,OH,43950,8709.0,39013.0,BELMONT,9000.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,140672.5785,120401.497165394,20271.0813346058,22586.8174473339,21177.2389439342,30842.9201101038,29651.4906608016,0.42937093473997867,LSR,42.94,Attention
PIER BEVERAGE & DELI,ROCKY RIVER,OH,44116,1016.0,39035.0,CUYAHOGA,1692.0,LSR - DELIVERY AND TAKE AWAY ONLY,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",DELI,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,47451.4443,41712.1551808372,5739.28911916281,6522.8268510833,6677.53812299117,8713.73808874632,15181.6673917333,0.8237108031472348,LSR,82.37,Apex
PANDA EXPRESS,BEAVERTON,OR,97008,7677.0,41067.0,WASHINGTON,6442.0,LSR - QUICK CASUAL,OTHER ASIAN,ASIAN UNCLASSIFIED,501+ UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,381045.7134,342603.501468432,38442.2119315683,61588.8982692004,58415.8903002455,64883.9450061919,125903.329024554,0.608890052572533,LSR,60.89,Focus
STARBUCKS,BEAVERTON,OR,97008,7695.0,41067.0,WASHINGTON,6442.0,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,182285.6448,127417.6657152,54867.9790848,49217.124096,23514.8481792,21874.277376,0.0,0.9082032510965907,LSR,90.82,Apex
ESAN THAI RESTAURANT,PORTLAND,OR,97210,2205.0,41051.0,MULTNOMAH,6442.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,THAI,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$15 TO $20,NOT APPLICABLE,74827.7194427475,70261.0531315784,4566.66631116906,11222.4313885062,14494.2017702322,10419.5959122515,27771.201366788,0.4537643945725234,FSR,45.38,Attention
JIMMY JOHN'S GOURMET SANDWICH SHOP,HENDERSONVILLE,TN,37075,6932.0,47165.0,SUMNER,5360.0,LSR - QUICK CASUAL,"SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$5 TO $7,NOT APPLICABLE,212202.2142,189165.787548332,23036.4266516677,25173.1386889239,29780.4240192574,40909.1325466331,75408.1289814978,0.031832476142805266,LSR,3.18,Study
THEBROWNSTONE COFFEE HOUSE,BOLIVAR,TN,38008,2321.0,47069.0,HARDEMAN,,"LSR - COFFEE SHOPS, TEA HOUSES",BEVERAGES,COFFEE / TEA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",UNDER $5,NOT APPLICABLE,148947.8718,104114.5623882,44833.3094118,40215.925386,19214.2754622,17873.744616,0.0,0.03629922263320029,LSR,3.63,Study
MURPHY'S DELI,HOUSTON,TX,77010,2044.0,48201.0,HARRIS,3362.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,51-100 UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,150267.6117,128613.874978826,21653.7367211738,24127.4251876655,22621.7017732793,32946.6623290707,31673.9675383395,0.8168583096319253,LSR,81.69,Apex
PIZZA HUT,CROSBY,TX,77532,5128.0,48201.0,HARRIS,3362.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,501+ UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,212382.5994,173847.618832844,38534.9805671556,37180.4997036352,20317.2129528061,44246.374875,39889.461430676,0.3387221335851932,LSR,33.87,Study
VERITAS WINE & BISTRO LLC,COLLEGE STATION,TX,77840,2266.0,48041.0,BRAZOS,1260.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,ASIAN UNCLASSIFIED,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,183819.014027396,172600.710102559,11218.3039248376,27568.6107793741,35605.9211527455,25596.3947774651,68221.7083671128,0.3954282946041717,FSR,39.54,Study
THE ITALIAN CHEF,UTICA,NY,13501,4055.0,36065.0,ONEIDA,8680.0,FSR - UPSCALE CASUAL DINING RESTAURANTS,"PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),1 TO 4,5 YEARS PLUS,"<=$500,000",$30 TO $50,NOT APPLICABLE,41596.7171821712,38325.2333706973,3271.48381147396,5455.79769779347,8448.00850097087,8073.9821505737,12856.5324176522,0.3168932550845587,FSR,31.69,Study
TAM DELI & CAFE,AUSTIN,TX,78753,5975.0,48453.0,TRAVIS,640.0,LSR - DELIVERY AND TAKE AWAY ONLY,OTHER ASIAN,VIETNAMESE,INDEPENDENT (1-9 UNITS),5 TO 9,5 YEARS PLUS,"<=$500,000",$7 TO $10,NOT APPLICABLE,66558.8178,58266.0073482124,8292.81045178765,9424.95935694475,7643.80789469122,12590.6496076706,21936.2864298592,0.41348554359520984,LSR,41.35,Attention
ROCKY ROCOCO,WISCONSIN RAPIDS,WI,54494,5271.0,55141.0,WOOD,,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","PIZZA, PASTA & ITALIAN",PIZZERIA,10-50 UNITS,10 TO 19,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,132733.728,108650.344316327,24083.3836836735,23236.8675612245,12697.7418367347,27652.86,24929.8998061224,0.6351798204523933,LSR,63.52,Focus
SUBWAY,PARAGOULD,AR,72450,2604.0,5055.0,GREENE,,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS","SANDWICHES, SOUPS AND SALADS, DELI, SUBS & HOT DOG",SANDWICHES,501+ UNITS,1 TO 4,5 YEARS PLUS,"<=$500,000",$5 TO $7,NOT APPLICABLE,126446.4108,108225.336692115,18221.074107885,20302.6206533222,19035.592321317,27723.7865979244,26652.8459839676,0.17524820980881617,LSR,17.52,Study
BURGER KING,MILWAUKEE,WI,53226,1409.0,55079.0,MILWAUKEE,5082.0,"LSR - QUICK SERVICE RESTAURANTS, FAST FOOD, SNACKS",HAMBURGERS,HAMBURGERS,501+ UNITS,10 TO 19,5 YEARS PLUS,"$1,000,001 - $2,500,000",$5 TO $7,NOT APPLICABLE,367477.9488,307753.597795373,59724.3510046272,57625.0768041131,31489.1130077121,68576.2905501285,100135.379364524,0.5712113998910967,LSR,57.12,Attention
UNCLE REDS PIZZERIA,BELLFLOWER,CA,90706,2278.0,6037.0,LOS ANGELES,4472.0,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,184035.437543129,169322.411223892,14713.0263192375,29776.3627889331,24521.7105320626,32000.8322443416,54298.0733209957,0.8184681851417873,LSR,81.85,Apex
CRISPY CRUST,SHERMAN OAKS,CA,91403,,6037.0,LOS ANGELES,4472.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING","PIZZA, PASTA & ITALIAN",ITALIAN - PIZZA & PASTA,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,223842.998840586,207377.315983509,16465.6828570774,30389.0452730188,37160.6464480073,30888.0053595969,86034.9749285387,0.29612961974986585,FSR,29.61,Study
ROLLING RICE,ROSEMEAD,CA,91770,2053.0,6037.0,LOS ANGELES,4472.0,"FSR - TRADITIONAL RESTAURANTS, CASUAL DINING",OTHER ASIAN,JAPANESE,INDEPENDENT (1-9 UNITS),10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$15 TO $20,NOT APPLICABLE,189801.617472072,178218.200808168,11583.4166639047,28465.8632572328,36764.7572376107,26429.4591934462,70442.0631527062,0.3595001739685174,FSR,35.95,Study
HAAGEN-DAZS,CARLSBAD,CA,92008,4461.0,6073.0,SAN DIEGO,7320.0,"LSR - ICE CREAM PARLORS, FROZEN DESSERTS",FROZEN DESSERT,ICE CREAM / DAIRY,101-250 UNITS,5 TO 9,5 YEARS PLUS,"<=$500,000",UNDER $5,NOT APPLICABLE,102634.0518,84057.2884242,18576.7633758,14368.767252,13239.7926822,37974.599166,0.0,0.7957309824382188,LSR,79.57,Apex
REDBRICK PIZZA,FONTANA,CA,92336,1244.0,6071.0,SAN BERNARDINO,4472.0,LSR - QUICK CASUAL,"PIZZA, PASTA & ITALIAN",PIZZERIA,10-50 UNITS,10 TO 19,5 YEARS PLUS,"$500,001 - $1,000,000",$7 TO $10,NOT APPLICABLE,267712.982344925,246310.212270713,21402.7700742112,43315.129912094,35671.2834570186,46551.0249114093,78986.4133691126,0.027162510887760782,LSR,2.72,Study
